hhid,zone,state,sector,oop_health_spending,total_income,oop_burden_pct,income_quintile,sector_label,oop_burden,state_name
1002,3,33.0,2,1200,36000,3.3333333333333335,Q3,Rural,3.3333333333333335,Sokoto
1003,3,33.0,2,0,30000,0.0,Q3,Rural,0.0,Sokoto
1011,3,33.0,2,1000,36000,2.7777777777777777,Q3,Rural,2.7777777777777777,Sokoto
1019,3,33.0,2,1000,72000,1.3888888888888888,Q4,Rural,1.3888888888888888,Sokoto
1024,3,33.0,2,0,60000,0.0,Q4,Rural,0.0,Sokoto
1028,3,33.0,2,1800,60000,3.0,Q4,Rural,3.0,Sokoto
1034,3,33.0,1,7500,10000,75.0,Q1 (Poorest),Urban,75.0,Sokoto
1044,3,33.0,2,0,24000,0.0,Q2,Rural,0.0,Sokoto
1050,3,33.0,2,12300,36000,34.166666666666664,Q3,Rural,34.166666666666664,Sokoto
1055,3,33.0,2,1300,36000,3.6111111111111107,Q3,Rural,3.6111111111111107,Sokoto
1059,3,33.0,1,0,36000,0.0,Q3,Urban,0.0,Sokoto
1061,3,33.0,1,300,60000,0.5,Q4,Urban,0.5,Sokoto
1069,3,33.0,1,700,48000,1.4583333333333333,Q3,Urban,1.4583333333333333,Sokoto
1080,3,33.0,1,5400,36000,15.0,Q3,Urban,15.0,Sokoto
1085,3,33.0,2,0,48000,0.0,Q3,Rural,0.0,Sokoto
1088,3,33.0,2,2000,24000,8.333333333333332,Q2,Rural,8.333333333333332,Sokoto
1094,3,33.0,2,0,48000,0.0,Q3,Rural,0.0,Sokoto
1095,3,33.0,2,1500,36000,4.166666666666666,Q3,Rural,4.166666666666666,Sokoto
1101,3,33.0,2,0,36000,0.0,Q3,Rural,0.0,Sokoto
1108,3,33.0,2,1200,24000,5.0,Q2,Rural,5.0,Sokoto
1111,3,33.0,2,0,24000,0.0,Q2,Rural,0.0,Sokoto
1120,3,33.0,2,4100,144000,2.8472222222222223,Q4,Rural,2.8472222222222223,Sokoto
1125,3,33.0,2,4800,120000,4.0,Q4,Rural,4.0,Sokoto
1127,3,33.0,1,32700,520000,6.288461538461538,Q5 (Richest),Urban,6.288461538461538,Sokoto
1130,3,33.0,1,39200,1440000,2.722222222222222,Q5 (Richest),Urban,2.722222222222222,Sokoto
1132,3,33.0,1,3500,5000,70.0,Q1 (Poorest),Urban,70.0,Sokoto
1137,3,33.0,1,138400,190000,72.84210526315789,Q5 (Richest),Urban,72.84210526315789,Sokoto
1143,3,33.0,2,600,24000,2.5,Q2,Rural,2.5,Sokoto
1151,3,33.0,2,1000,36000,2.7777777777777777,Q3,Rural,2.7777777777777777,Sokoto
1153,3,33.0,2,0,120000,0.0,Q4,Rural,0.0,Sokoto
1158,3,33.0,2,1500,24000,6.25,Q2,Rural,6.25,Sokoto
1162,3,33.0,2,3500,36000,9.722222222222223,Q3,Rural,9.722222222222223,Sokoto
1167,3,33.0,2,0,24000,0.0,Q2,Rural,0.0,Sokoto
1183,3,33.0,2,800,120000,0.6666666666666667,Q4,Rural,0.6666666666666667,Sokoto
1184,3,33.0,2,3100,60000,5.166666666666667,Q4,Rural,5.166666666666667,Sokoto
1193,3,33.0,2,1500,60000,2.5,Q4,Rural,2.5,Sokoto
1203,3,33.0,2,4000,20000,20.0,Q2,Rural,20.0,Sokoto
1206,3,33.0,2,0,48000,0.0,Q3,Rural,0.0,Sokoto
1207,3,33.0,2,0,36000,0.0,Q3,Rural,0.0,Sokoto
1210,3,33.0,2,7900,48000,16.458333333333332,Q3,Rural,16.458333333333332,Sokoto
1253,3,33.0,2,1500,36000,4.166666666666666,Q3,Rural,4.166666666666666,Sokoto
1256,3,33.0,2,2900,24000,12.083333333333334,Q2,Rural,12.083333333333334,Sokoto
1257,3,33.0,2,0,50000,0.0,Q3,Rural,0.0,Sokoto
1259,3,33.0,2,2400,36000,6.666666666666667,Q3,Rural,6.666666666666667,Sokoto
1265,3,33.0,2,5000,48000,10.416666666666668,Q3,Rural,10.416666666666668,Sokoto
1270,3,33.0,2,4300,60000,7.166666666666667,Q4,Rural,7.166666666666667,Sokoto
1272,3,33.0,2,8200,36000,22.77777777777778,Q3,Rural,22.77777777777778,Sokoto
1280,3,33.0,2,5800,48000,12.083333333333334,Q3,Rural,12.083333333333334,Sokoto
1282,3,33.0,2,5500,60000,9.166666666666666,Q4,Rural,9.166666666666666,Sokoto
1284,3,33.0,2,1900,36000,5.277777777777778,Q3,Rural,5.277777777777778,Sokoto
1292,3,33.0,2,2700,36000,7.5,Q3,Rural,7.5,Sokoto
1293,3,33.0,2,2900,36000,8.055555555555555,Q3,Rural,8.055555555555555,Sokoto
1297,3,33.0,2,1450,36000,4.027777777777778,Q3,Rural,4.027777777777778,Sokoto
1300,3,33.0,2,0,35000,0.0,Q3,Rural,0.0,Sokoto
1311,3,33.0,2,18100,36000,50.27777777777778,Q3,Rural,50.27777777777778,Sokoto
1312,3,33.0,2,3500,35000,10.0,Q3,Rural,10.0,Sokoto
1313,3,33.0,2,1900,36000,5.277777777777778,Q3,Rural,5.277777777777778,Sokoto
1314,3,33.0,2,1500,24000,6.25,Q2,Rural,6.25,Sokoto
1326,3,33.0,1,0,5000,0.0,Q1 (Poorest),Urban,0.0,Sokoto
1329,3,33.0,1,25200,25000,100,Q2,Urban,100,Sokoto
1336,3,33.0,2,1900,24000,7.916666666666666,Q2,Rural,7.916666666666666,Sokoto
1341,3,33.0,2,700,24000,2.9166666666666665,Q2,Rural,2.9166666666666665,Sokoto
1342,3,33.0,2,9300,36000,25.833333333333336,Q3,Rural,25.833333333333336,Sokoto
1349,3,33.0,1,14200,168000,8.452380952380953,Q5 (Richest),Urban,8.452380952380953,Sokoto
1350,3,33.0,1,7500,600000,1.25,Q5 (Richest),Urban,1.25,Sokoto
1352,3,33.0,1,14600,12000,100,Q2,Urban,100,Sokoto
1357,3,33.0,1,0,60000,0.0,Q4,Urban,0.0,Sokoto
1364,3,33.0,2,0,60000,0.0,Q4,Rural,0.0,Sokoto
1366,3,33.0,2,1600,48000,3.3333333333333335,Q3,Rural,3.3333333333333335,Sokoto
1368,3,33.0,2,2700,36000,7.5,Q3,Rural,7.5,Sokoto
1376,3,33.0,2,2300,36000,6.388888888888888,Q3,Rural,6.388888888888888,Sokoto
1380,3,33.0,2,3300,24000,13.750000000000002,Q2,Rural,13.750000000000002,Sokoto
1381,3,33.0,2,1000,10000,10.0,Q1 (Poorest),Rural,10.0,Sokoto
1385,3,33.0,2,1600,36000,4.444444444444445,Q3,Rural,4.444444444444445,Sokoto
1391,3,33.0,2,1300,60000,2.166666666666667,Q4,Rural,2.166666666666667,Sokoto
1393,3,33.0,2,2800,120000,2.3333333333333335,Q4,Rural,2.3333333333333335,Sokoto
1395,3,33.0,2,4200,36000,11.666666666666666,Q3,Rural,11.666666666666666,Sokoto
1399,3,33.0,2,0,50000,0.0,Q3,Rural,0.0,Sokoto
1404,3,33.0,2,2000,36000,5.555555555555555,Q3,Rural,5.555555555555555,Sokoto
1406,3,33.0,2,5000,36000,13.88888888888889,Q3,Rural,13.88888888888889,Sokoto
1408,3,33.0,2,2800,24000,11.666666666666666,Q2,Rural,11.666666666666666,Sokoto
1409,3,33.0,2,11400,15000,76.0,Q2,Rural,76.0,Sokoto
1418,3,33.0,2,1700,36000,4.722222222222222,Q3,Rural,4.722222222222222,Sokoto
1419,3,33.0,2,0,5000,0.0,Q1 (Poorest),Rural,0.0,Sokoto
1423,3,33.0,2,4700,36000,13.055555555555557,Q3,Rural,13.055555555555557,Sokoto
1427,3,33.0,2,1350,60000,2.25,Q4,Rural,2.25,Sokoto
1432,3,33.0,2,15700,36000,43.611111111111114,Q3,Rural,43.611111111111114,Sokoto
1436,3,33.0,2,10200,216000,4.722222222222222,Q5 (Richest),Rural,4.722222222222222,Sokoto
1437,3,33.0,2,9400,24000,39.166666666666664,Q2,Rural,39.166666666666664,Sokoto
1438,3,33.0,2,8500,24000,35.41666666666667,Q2,Rural,35.41666666666667,Sokoto
1440,3,33.0,2,0,25000,0.0,Q2,Rural,0.0,Sokoto
1447,3,33.0,2,1900,36000,5.277777777777778,Q3,Rural,5.277777777777778,Sokoto
1451,3,33.0,2,2400,24000,10.0,Q2,Rural,10.0,Sokoto
1454,3,33.0,2,3100,24000,12.916666666666668,Q2,Rural,12.916666666666668,Sokoto
1500,3,33.0,2,3800,120000,3.166666666666667,Q4,Rural,3.166666666666667,Sokoto
1502,3,33.0,2,1400,30000,4.666666666666667,Q3,Rural,4.666666666666667,Sokoto
1504,3,33.0,2,800,70000,1.1428571428571428,Q4,Rural,1.1428571428571428,Sokoto
1506,3,33.0,2,1500,10000,15.0,Q1 (Poorest),Rural,15.0,Sokoto
1507,3,33.0,2,6100,120000,5.083333333333333,Q4,Rural,5.083333333333333,Sokoto
1509,3,33.0,2,6700,120000,5.583333333333333,Q4,Rural,5.583333333333333,Sokoto
1514,3,33.0,2,7400,84000,8.80952380952381,Q4,Rural,8.80952380952381,Sokoto
1516,3,33.0,2,4300,60000,7.166666666666667,Q4,Rural,7.166666666666667,Sokoto
1517,3,33.0,2,1900,60000,3.166666666666667,Q4,Rural,3.166666666666667,Sokoto
1518,3,33.0,2,0,70000,0.0,Q4,Rural,0.0,Sokoto
1520,3,33.0,2,13500,45000,30.0,Q3,Rural,30.0,Sokoto
1528,3,33.0,2,5600,60000,9.333333333333334,Q4,Rural,9.333333333333334,Sokoto
1530,3,33.0,2,1400,36000,3.888888888888889,Q3,Rural,3.888888888888889,Sokoto
1532,3,33.0,2,4950,60000,8.25,Q4,Rural,8.25,Sokoto
1537,3,33.0,2,0,50000,0.0,Q3,Rural,0.0,Sokoto
1544,3,33.0,2,10000,120000,8.333333333333332,Q4,Rural,8.333333333333332,Sokoto
1545,3,33.0,2,5400,48000,11.25,Q3,Rural,11.25,Sokoto
1546,3,33.0,2,0,10000,0.0,Q1 (Poorest),Rural,0.0,Sokoto
1547,3,33.0,2,1600,50000,3.2,Q3,Rural,3.2,Sokoto
1549,3,33.0,2,1300,20000,6.5,Q2,Rural,6.5,Sokoto
1550,3,33.0,2,2200,60000,3.6666666666666665,Q4,Rural,3.6666666666666665,Sokoto
1556,3,33.0,2,3900,120000,3.25,Q4,Rural,3.25,Sokoto
1557,3,33.0,2,3400,120000,2.833333333333333,Q4,Rural,2.833333333333333,Sokoto
1558,3,33.0,2,22100,20000,100,Q2,Rural,100,Sokoto
1561,3,33.0,2,3900,60000,6.5,Q4,Rural,6.5,Sokoto
1562,3,33.0,2,2100,60000,3.5000000000000004,Q4,Rural,3.5000000000000004,Sokoto
1564,3,33.0,2,2200,10000,22.0,Q1 (Poorest),Rural,22.0,Sokoto
1572,3,33.0,2,4700,48000,9.791666666666666,Q3,Rural,9.791666666666666,Sokoto
1574,3,33.0,2,700,60000,1.1666666666666667,Q4,Rural,1.1666666666666667,Sokoto
1575,3,33.0,2,4700,60000,7.833333333333334,Q4,Rural,7.833333333333334,Sokoto
1585,3,33.0,2,4300,80000,5.375,Q4,Rural,5.375,Sokoto
1586,3,33.0,2,7100,120000,5.916666666666667,Q4,Rural,5.916666666666667,Sokoto
1589,3,33.0,2,2000,70000,2.857142857142857,Q4,Rural,2.857142857142857,Sokoto
1590,3,33.0,2,8100,120000,6.75,Q4,Rural,6.75,Sokoto
1592,3,33.0,2,3700,20000,18.5,Q2,Rural,18.5,Sokoto
1593,3,33.0,2,4900,120000,4.083333333333333,Q4,Rural,4.083333333333333,Sokoto
1600,3,33.0,2,0,3500,0.0,Q1 (Poorest),Rural,0.0,Sokoto
1601,3,33.0,2,2100,60000,3.5000000000000004,Q4,Rural,3.5000000000000004,Sokoto
1603,3,33.0,2,1600,25000,6.4,Q2,Rural,6.4,Sokoto
1604,3,33.0,2,0,20000,0.0,Q2,Rural,0.0,Sokoto
1605,3,33.0,2,5000,10000,50.0,Q1 (Poorest),Rural,50.0,Sokoto
1606,3,33.0,2,3900,60000,6.5,Q4,Rural,6.5,Sokoto
1607,3,33.0,2,1900,60000,3.166666666666667,Q4,Rural,3.166666666666667,Sokoto
1613,3,33.0,2,2100,60000,3.5000000000000004,Q4,Rural,3.5000000000000004,Sokoto
1615,3,33.0,2,1800,60000,3.0,Q4,Rural,3.0,Sokoto
1621,3,33.0,2,1800,60000,3.0,Q4,Rural,3.0,Sokoto
1626,3,33.0,2,1500,50000,3.0,Q3,Rural,3.0,Sokoto
1629,3,33.0,2,1800,60000,3.0,Q4,Rural,3.0,Sokoto
1632,3,33.0,2,3700,240000,1.5416666666666667,Q5 (Richest),Rural,1.5416666666666667,Sokoto
1634,3,33.0,2,4500,120000,3.75,Q4,Rural,3.75,Sokoto
1635,3,33.0,2,0,20000,0.0,Q2,Rural,0.0,Sokoto
1642,3,33.0,2,2400,120000,2.0,Q4,Rural,2.0,Sokoto
1644,3,33.0,2,2800,60000,4.666666666666667,Q4,Rural,4.666666666666667,Sokoto
1645,3,33.0,2,0,30000,0.0,Q3,Rural,0.0,Sokoto
1649,3,33.0,2,3200,36000,8.88888888888889,Q3,Rural,8.88888888888889,Sokoto
1656,3,33.0,2,6850,120000,5.708333333333333,Q4,Rural,5.708333333333333,Sokoto
1657,3,33.0,2,6400,20000,32.0,Q2,Rural,32.0,Sokoto
1658,3,33.0,2,4300,30000,14.333333333333334,Q3,Rural,14.333333333333334,Sokoto
1660,3,33.0,2,10050,50000,20.1,Q3,Rural,20.1,Sokoto
1662,3,33.0,2,5700,36000,15.833333333333332,Q3,Rural,15.833333333333332,Sokoto
1663,3,33.0,2,3800,60000,6.333333333333334,Q4,Rural,6.333333333333334,Sokoto
1668,3,33.0,2,2000,30000,6.666666666666667,Q3,Rural,6.666666666666667,Sokoto
1670,3,33.0,2,1000,120000,0.8333333333333334,Q4,Rural,0.8333333333333334,Sokoto
1671,3,33.0,2,1000,30000,3.3333333333333335,Q3,Rural,3.3333333333333335,Sokoto
1672,3,33.0,2,4000,60000,6.666666666666667,Q4,Rural,6.666666666666667,Sokoto
1674,3,33.0,2,1700,120000,1.4166666666666665,Q4,Rural,1.4166666666666665,Sokoto
1677,3,33.0,2,2200,10000,22.0,Q1 (Poorest),Rural,22.0,Sokoto
1686,3,33.0,2,3600,72000,5.0,Q4,Rural,5.0,Sokoto
1687,3,33.0,2,1700,60000,2.833333333333333,Q4,Rural,2.833333333333333,Sokoto
1688,3,33.0,2,1800,60000,3.0,Q4,Rural,3.0,Sokoto
1697,3,33.0,2,3100,36000,8.61111111111111,Q3,Rural,8.61111111111111,Sokoto
1698,3,33.0,2,0,36000,0.0,Q3,Rural,0.0,Sokoto
1704,3,33.0,2,4450,60000,7.416666666666667,Q4,Rural,7.416666666666667,Sokoto
1750,3,33.0,2,0,20000,0.0,Q2,Rural,0.0,Sokoto
1751,3,33.0,2,10000,60000,16.666666666666664,Q4,Rural,16.666666666666664,Sokoto
1753,3,33.0,2,16200,50000,32.4,Q3,Rural,32.4,Sokoto
1754,3,33.0,2,600,50000,1.2,Q3,Rural,1.2,Sokoto
1756,3,33.0,2,3500,120000,2.9166666666666665,Q4,Rural,2.9166666666666665,Sokoto
